"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","review_count.1","hours.time"
"583",3.5,174,TRUE,"YES",FALSE,"average",174,41
"585",4,46,TRUE,"YES",TRUE,"quiet",46,62
"587",4,56,TRUE,"YES",TRUE,"average",56,98
"588",3.5,17,TRUE,"NO",TRUE,"average",17,108.5
"589",3.5,26,TRUE,"YES",TRUE,"average",26,133
"599",4,29,FALSE,"NO",TRUE,"quiet",29,52.5
"600",4,173,TRUE,"YES",TRUE,"average",173,27
"601",3.5,31,FALSE,"YES",TRUE,"average",31,102
"602",4,110,FALSE,"YES",TRUE,"average",110,85
"603",4,108,TRUE,"YES",TRUE,"average",108,105
"605",4,9,TRUE,"NO",TRUE,"average",9,105
"606",3.5,123,FALSE,"YES",TRUE,"average",123,82
"607",4,96,TRUE,"YES",TRUE,"loud",96,67
"609",4,90,TRUE,"YES",TRUE,"quiet",90,29
"610",3.5,19,TRUE,"YES",TRUE,"average",19,92
"614",3.5,41,FALSE,"YES",TRUE,"average",41,84
"615",3,227,TRUE,"YES",TRUE,"average",227,57
"619",3,13,FALSE,"NO",TRUE,"quiet",13,72
"620",3,17,TRUE,"YES",TRUE,"average",17,66
"621",4,128,TRUE,"YES",TRUE,"average",128,74
"623",3,54,TRUE,"YES",TRUE,"average",54,121
"624",3,21,TRUE,"YES",TRUE,"very_loud",21,53
"625",4,52,TRUE,"NO",TRUE,"quiet",52,78
"630",4,788,TRUE,"YES",TRUE,"average",788,107
"633",3,127,TRUE,"YES",TRUE,"average",127,36.5
"635",4.5,206,TRUE,"YES",FALSE,"average",206,79
"641",4.5,96,TRUE,"YES",TRUE,"quiet",96,61.5
"642",3,8,TRUE,"YES",TRUE,"quiet",8,106.5
"643",4.5,49,TRUE,"YES",TRUE,"quiet",49,64
"645",4,12,TRUE,"NO",TRUE,"average",12,86
"646",2.5,13,FALSE,"YES",TRUE,"average",13,27
"648",4,89,TRUE,"YES",TRUE,"average",89,88
"651",2.5,61,FALSE,"YES",TRUE,"average",61,92
"652",4,112,TRUE,"YES",TRUE,"average",112,79.5
"653",4,33,TRUE,"YES",TRUE,"average",33,105
"654",3,47,TRUE,"YES",TRUE,"average",47,79
"658",3.5,31,TRUE,"YES",TRUE,"loud",31,47.5
"660",3.5,60,TRUE,"YES",TRUE,"loud",60,105
"661",3.5,12,TRUE,"YES",TRUE,"loud",12,100
"662",3.5,55,TRUE,"YES",TRUE,"very_loud",55,63
"664",4,50,TRUE,"NO",TRUE,"very_loud",50,23.5
"665",4,524,TRUE,"YES",FALSE,"average",524,94.5
"666",3.5,41,FALSE,"YES",TRUE,"average",41,106.5
"669",4,70,FALSE,"YES",FALSE,"average",70,37
"670",4,35,TRUE,"YES",TRUE,"average",35,77
"675",4.5,301,TRUE,"YES",FALSE,"average",301,31
"681",3,32,TRUE,"YES",TRUE,"average",32,42
"685",4,20,FALSE,"NO",TRUE,"quiet",20,59
"689",4,34,FALSE,"NO",TRUE,"average",34,80
"691",3.5,3,TRUE,"YES",TRUE,"loud",3,96
"697",3.5,18,FALSE,"NO",TRUE,"quiet",18,62
"699",3.5,1380,TRUE,"YES",TRUE,"loud",1380,168
"701",4.5,86,TRUE,"YES",FALSE,"average",86,69.5
"702",4.5,285,FALSE,"YES",TRUE,"average",285,72
"704",3,79,TRUE,"YES",TRUE,"average",79,77
"705",2,37,FALSE,"YES",TRUE,"average",37,93
"708",3,17,FALSE,"YES",TRUE,"average",17,103
"709",3,42,FALSE,"YES",TRUE,"average",42,92
"711",4,4,TRUE,"YES",TRUE,"average",4,107
"718",3.5,6,FALSE,"NO",TRUE,"very_loud",6,90
"719",4.5,31,FALSE,"YES",TRUE,"quiet",31,54
"721",3,61,FALSE,"YES",TRUE,"average",61,98
"722",4,317,FALSE,"YES",FALSE,"average",317,67
"723",3.5,249,TRUE,"YES",TRUE,"average",249,59
"724",4,60,TRUE,"YES",FALSE,"average",60,69.5
