"","V1","V2"
"659","u'none'",NA
"660","u'full_bar'",NA
"661","u'beer_and_wine'","beer_and_wine"
"662","u'full_bar'",NA
"663","u'full_bar'","full_bar"
"664","u'full_bar'",NA
"665","'full_bar'","full_bar"
"666","u'full_bar'",NA
"667","u'full_bar'","full_bar"
"668","u'full_bar'",NA
"669","u'beer_and_wine'","beer_and_wine"
"670","u'full_bar'",NA
"671",NA,NA
"672",NA,NA
"673","u'full_bar'","full_bar"
"674","u'full_bar'",NA
"675","u'full_bar'","full_bar"
"676","None",NA
"677",NA,NA
"678",NA,NA
"679",NA,NA
"680",NA,NA
"681","u'full_bar'","full_bar"
"682",NA,NA
"683",NA,NA
"684","u'full_bar'",NA
"685",NA,NA
"686","u'none'","none"
"687","'full_bar'","full_bar"
"688",NA,NA
"689","'full_bar'","full_bar"
"690","u'none'","none"
"691","u'full_bar'","full_bar"
"692","u'full_bar'",NA
"693","u'full_bar'","full_bar"
"694",NA,NA
"695",NA,NA
"696","u'full_bar'",NA
"697",NA,NA
"698","u'none'","none"
"699","u'beer_and_wine'","beer_and_wine"
"700","u'none'","none"
"701","u'full_bar'","full_bar"
"702","u'none'","none"
"703",NA,NA
"704","'full_bar'",NA
"705","u'full_bar'","full_bar"
"706",NA,NA
"707","u'full_bar'","full_bar"
"708","u'full_bar'",NA
"709","u'full_bar'","full_bar"
"710","u'beer_and_wine'",NA
"711","u'full_bar'","full_bar"
"712",NA,NA
"713","u'full_bar'","full_bar"
"714","u'full_bar'",NA
"715","u'full_bar'","full_bar"
"716",NA,NA
"717","u'none'",NA
"718","'full_bar'",NA
"719","u'none'",NA
"720","u'beer_and_wine'",NA
"721","u'full_bar'","full_bar"
"722","'full_bar'",NA
"723","u'full_bar'","full_bar"
"724","u'full_bar'",NA
"725","u'full_bar'","full_bar"
"726","u'full_bar'",NA
"727","u'full_bar'","full_bar"
"728",NA,NA
"729","u'full_bar'","full_bar"
"730","'full_bar'",NA
"731","'full_bar'","full_bar"
"732","u'full_bar'",NA
"733","u'full_bar'","full_bar"
"734","'full_bar'",NA
"735","u'full_bar'","full_bar"
"736","u'full_bar'",NA
"737",NA,NA
"738",NA,NA
"739","u'beer_and_wine'","beer_and_wine"
"740","u'full_bar'",NA
"741","u'full_bar'","full_bar"
"742","u'full_bar'",NA
"743",NA,NA
"744","u'full_bar'",NA
"745","u'full_bar'","full_bar"
"746",NA,NA
"747",NA,NA
"748",NA,NA
"749","u'full_bar'","full_bar"
"750","u'beer_and_wine'",NA
"751","u'full_bar'","full_bar"
"752","u'full_bar'",NA
"753",NA,NA
"754","u'full_bar'",NA
"755",NA,NA
"756","u'full_bar'",NA
"757","u'full_bar'","full_bar"
"758","u'full_bar'",NA
"759","u'full_bar'","full_bar"
"760",NA,NA
"761","u'none'",NA
"762","u'full_bar'",NA
"763",NA,NA
"764",NA,NA
"765","u'full_bar'","full_bar"
"766","'full_bar'",NA
"767","u'full_bar'","full_bar"
"768","u'full_bar'",NA
"769","u'full_bar'","full_bar"
"770","u'full_bar'",NA
"771","u'beer_and_wine'","beer_and_wine"
"772","u'full_bar'",NA
"773","u'full_bar'","full_bar"
"774","u'full_bar'",NA
"775",NA,NA
